Distance_mi,Temperature_F,Wind_Chill_F,Humidity,Pressure_in,Visibility_mi,Wind_Speed_mph,Precipitation_in,HighLowSeverity
1.473,100,100,22,28.83,10,14,0,0
0.078,64,64,87,29.66,10,3,0,0
0.116,73,73,37,29.38,10,9,0,0
0.188,21,8,80,28.34,10,14,0,0
0.048,58,58,67,30.09,10,9,0,0
0.168,73,73,88,29.99,7,0,0,0
1.288,68,68,54,29.5,10,6,0,0
0.045,49,45,77,29.54,10,9,0,0
0.175,63,63,25,28.65,10,3,0,0
2.091,52,52,86,28.47,8,8,0.01,0
0.017,76,76,46,28.92,8,10,0,0
0.341,71,71,55,29.91,10,10,0,0
1.168,65,65,87,29.79,9,3,0,0
1.843,36,28.5,97,29.95,5,10.4,0,0
0.079,90,90,19,29.49,10,12,0,0
0.156,67,67,57,29.73,10,0,0,0
0.079,89,89,65,30.01,10,7,0,0
0.1,14,-1,79,28.89,2,14,0,0
0.534,37,37,89,29.68,2,3,0,0
1.394,79,79,39,29.82,10,10,0,0
1.275,60,60,67,30.21,10,15,0,0
1.062,44,39,40,29.77,10,9,0,0
0.498,70,70,53,28.94,10,14,0,0
0.492,86,86,33,28.84,10,14,0,0
0.305,87,87,41,29.33,10,5,0,0
0.21,63,63,24,26.88,10,8,0,0
0.133,51,51,74,28.91,10,5,0,0
0.112,46,42,44,30.21,10,7,0,0
0.299,77,77,74,29.66,10,5,0.01,0
0.296,50,50,57,29.57,10,0,0,0
0.012,78,78,76,29.82,10,10,0,0
0.205,40,35,58,29.79,10,7,0,0
0.113,59,59,30,27.22,10,10,0,0
0.485,36,28,79,29.92,10,12,0,0
1.281,62,62,50,29.32,7,7,0,0
0.089,84,84,27,29.55,10,15,0,0
0.152,50,50,29,29.71,10,0,0,0
0.523,40,34,47,29.61,10,8,0,0
0.061,90,90,26,28.63,10,9,0,0
0.76,41,35,67,29.16,9,9,0,0
0.449,81,81,74,29.96,10,13,0,0
0.447,83,83,69,29.98,10,9,0,0
0.173,61,61,78,29.91,9,5,0,0
0.595,92,92,30,29.58,10,9,0,0
0.495,84,84,14,29.52,10,23,0,0
4.45,86,86,7,24.99,10,9,0,1
0.135,72,72,55,30.05,10,6,0,0
0.984,50,50,100,29.91,8,0,0.01,0
1.163,74,74,87,29.81,9,7,0,0
0.088,82,82,62,30.07,10,13,0,0
0.126,78,78,56,28.94,10,10,0,0
0.075,68,68,46,29.7,10,8,0,0
2.887,68,68,70,28.9,10,8,0,0
1.558,30,30,88,28.9,0.5,0,0.01,0
0.197,88,88,63,30.09,10,10,0,0
3.925,80,80,87,30,10,9,0,0
0.203,49,49,77,29.93,10,3,0,0
0.02,22,22,85,25.56,10,0,0,0
1.609,64,64,80,30.04,5,6,0,0
0.072,55,55,89,28.87,1,7,0.05,0
0.084,67,67,47,30.11,10,12,0,0
0.071,91,91,41,29.23,10,9,0,0
0.025,61,61,93,29.26,4,0,0,0
0.672,43,43,76,29.93,10,0,0,0
0.271,76,76,62,29.33,10,0,0,0
1.173,71,71,70,28.77,10,5,0,1
0.169,75,75,66,30.05,10,5,0,0
0.157,56,56,75,29.19,10,7,0,0
0.023,94,94,32,28.85,10,13,0,0
0.268,55,55,44,28.52,10,12,0,0
1.065,60,60,47,29.09,10,14,0,0
1.574,31,20,96,28.97,1,16,0.12,0
1.555,76,76,85,29.28,10,0,0,0
4.152,63,63,23,28.97,10,6,0,0
0.075,58,58,84,29.86,3,0,0,0
0.09,86,86,51,28.99,10,6,0,0
0.547,52,52,93,29.02,4,5,0,0
0.178,80,80,27,27.46,10,14,0,0
0.102,80,80,64,29.52,10,9,0,0
1.156,63,63,94,28.89,5,6,0,0
0.484,76,76,54,30.19,10,8,0,0
0.816,62,62,86,30.03,10,0,0,0
1.939,65,65,81,29.85,5,0,0,0
0.01,81,81,25,29.67,10,5,0,0
0.025,103,103,12,29.16,10,7,0,0
0.104,63,63,90,30.01,10,7,0,0
0,53,53,71,28.47,10,3,0,0
0.139,51,51,41,29.04,10,7,0,0
0.501,33,28,72,29.74,10,6,0,0
0.114,79,79,88,30.04,10,7,0,0
0.466,92,92,25,29.4,10,15,0,0
0.065,78,78,62,30.06,10,3,0,0
0.043,89,89,53,29.1,10,5,0,0
2.827,73,73,81,30.01,10,3,0,0
0.07,78,78,81,30.05,10,5,0,0
0.167,61,61,52,27.78,10,3,0,0
1.444,75,75,66,29.82,10,5,0,0
0.133,79,79,82,29.95,10,9,0,0
0.064,58,58,60,29.93,10,0,0,0
0.317,79,79,44,29.43,10,7,0,0
0.029,90,90,15,29.76,10,7,0,0
0.257,74,74,91,29.65,9,0,0.01,0
1.254,80,80,45,29.87,10,13,0,0
0.368,69,69,53,29.5,10,9,0,0
0.05,79,79,88,29.94,6,6,0.18,0
0.095,93,93,57,29.78,10,3,0,0
0.458,74,74,100,29.86,8,5,0,0
1.28,62,62,60,29.35,10,5,0,0
1.579,55,55,59,29.65,10,3,0,0
1.658,41,41,70,30.24,10,0,0,0
0.009,73,73,66,30.16,10,12,0,0
6.701,69,69,96,30.04,2,0,0,0
5.115,77,77,90,29.88,10,8,0,0
4.574,59,59,100,29.77,10,13,0,0
0.306,66,66,52,29.69,4,5,0,0
0.068,79,79,72,29.22,10,5,0,0
0.854,82,82,62,30,10,7,0,0
0.48,90,90,59,29.91,10,8,0,0
0.718,85,85,40,29.24,10,8,0,0
0.135,84,84,61,30.13,10,14,0,0
1.172,95,95,22,28.52,6,7,0,0
9.253,71,71,91,29.81,10,0,0.01,0
1.5,61,61,64,29.11,10,7,0,0
1.62,56,56,72,29.66,10,5,0,0
0.78,54,54,80,28.71,2,28,0.16,0
1.154,77,77,94,29.82,10,13,0,0
2.937,98,98,18,29.87,10,6,0,0
0.122,85,85,67,30.16,10,5,0,0
0.057,77,77,76,29.33,10,9,0,0
0.56,78,78,66,29.76,10,6,0,0
0.138,58,58,67,29.52,10,6,0,0
3.227,83,83,51,29.26,9,12,0,0
0.919,55,55,100,29.19,5,0,0,0
0.77,45,41,74,29.81,10,7,0,0
0.108,79,79,90,30.04,9,3,0,0
1.371,81,81,79,29.94,10,0,0,0
1.15,91,91,48,29.82,9,5,0,0
0.992,69,69,31,25.06,10,13,0,0
0.022,60,60,78,29.96,2,3,0,0
0.014,50,50,20,29.85,10,18,0,0
0.027,64,64,80,29.68,10,8,0,0
0.125,54,54,62,29.73,10,6,0,0
1.724,89,89,53,29.76,10,5,0,0
0.184,43,40,97,29.55,10,5,0,0
0.266,53,53,89,29.13,10,0,0,0
0.27,57,57,94,29.93,10,5,0,0
0.638,76,76,50,28.72,10,9,0,0
0.613,69,69,89,29.93,10,0,0,0
2.444,72,72,100,29.82,10,5,0,0
0.032,63,63,78,30.02,10,0,0,0
2.031,64,64,96,30.12,10,13,0.02,0
0.049,68,68,25,29.46,10,12,0,0
2.166,48,48,100,29.97,4,3,0,0
0.893,51,51,96,29.78,2,0,0.06,0
0.285,45,45,44,29.91,10,3,0,0
0.415,77,77,15,27.52,10,0,0,0
1.285,46,41,34,26.35,10,12,0,0
1.332,70,70,87,29.46,10,0,0,0
1.004,71,71,61,29.74,4,3,0,0
0.16,75,75,87,29.7,6,9,0,0
0.126,83,83,82,30.02,10,13,0,0
0.095,69,69,90,30.13,10,5,0,0
0.175,45,45,68,30.03,10,0,0,0
2.176,18,8,78,29.36,10,8,0,0
0.229,49,49,100,29.89,2,3,0,0
0.192,81,81,72,30.01,10,14,0,0
1.196,27,14,81,27.64,9,18,0,0
0.934,80,80,58,29.38,10,6,0,0
0.082,68,68,56,29.41,10,13,0,0
0.932,58,58,83,30,10,3,0,0
0.438,36,29,81,29.26,10,8,0,0
10.594,30,25,96,25.09,6,5,0,0
0.261,77,77,34,29.69,10,6,0,0
0.47,81,81,52,29.82,10,7,0,0
0.036,75,75,64,28.93,10,5,0,0
0.214,72,72,40,30.05,10,10,0,0
0.789,57,57,62,29.5,10,0,0,0
0.579,72,72,71,29.46,10,14,0,0
0.054,65,65,99,29.66,10,0,0,0
0.161,56,56,47,29.54,10,8,0,0
0.455,43,43,81,28.47,10,0,0,0
3.546,78,78,39,29.68,10,9,0,0
5.85,61,61,35,29.53,10,3,0,0
0.205,84,84,44,29.32,10,6,0,0
0.126,36,28,56,29.27,10,10,0,0
0.11,68,68,81,30.05,10,0,0,0
0.272,57,57,55,29.76,10,10,0,0
0.875,56,56,80,30.02,4,3,0,0
0.998,68,68,100,29.9,10,6,0,0
0.065,41,41,53,29.12,10,0,0,0
0.237,69,69,51,28.65,10,5,0,0
0.748,39,31,93,28.31,1,13,0.33,0
0.038,61,61,35,29.82,10,0,0,0
0.024,52,52,88,29.62,4,25,0,0
2.058,92,92,33,28.45,10,13,0,0
4.49,56,56,45,30.04,10,9,0,0
1.138,45,43,68,26.88,10,5,0,0
0.008,66,66,42,28.94,10,5,0,0
0.257,75,75,76,30.01,10,9,0,0
0.261,87,87,61,30.01,10,13,0,0
0.083,51,51,50,28.94,10,5,0,0
0.03,60,60,64,29.25,10,3,0,0
0.503,51,51,80,29.01,10,8,0,0
1.663,73,73,46,29.75,10,3,0,0
2.867,77,77,90,30,10,7,0.01,0
0.866,35,29,39,30.24,10,8,0,0
0.916,65,65,47,29.43,10,0,0,0
0.115,81,81,54,29.85,10,13,0,0
0.263,43,39,47,30.26,10,6,0,0
5.061,95,95,50,29.85,10,12,0,0
0.247,54,54,33,27.15,10,7,0,0
0.046,101,101,9,29.18,10,12,0,0
0.827,87,87,59,29.48,10,6,0,0
0.266,89,89,55,30.12,10,15,0,0
0.492,72,72,26,29.85,10,23,0,0
0.739,54,54,83,29.06,10,0,0,0
0.32,73,73,30,29.18,10,3,0,0
0.171,83,83,56,30.03,10,7,0,0
1.2,57,57,25,29.67,10,10,0,0
0.942,57,57,100,29.45,6,5,0,0
0.179,66,66,73,29.79,10,8,0,0
0.011,53,53,64,30.04,10,18,0,0
2.436,66,66,60,29.86,10,10,0,0
1.517,79,79,44,29.96,10,8,0,0
0.902,72,72,66,29.58,10,14,0,0
0.066,38,34,68,24.34,10,5,0,0
0.203,72,72,53,30.18,10,7,0,0
0.307,53,53,52,29.56,10,0,0,0
0.549,29,29,72,26.9,10,0,0,0
0.066,84,84,61,29.45,10,14,0,0
2.198,70,70,56,29.32,10,10,0,0
0.33,56,56,67,29.79,10,6,0,0
1.791,47,43,88,29.82,10,9,0,0
1.086,54,54,47,29.14,10,0,0,0
0.072,79,79,60,29.99,10,7,0,0
0.076,47,40,59,28.59,10,20,0,0
6.881,78,78,40,30.19,10,13,0,0
0.325,27,27,65,30.38,10,0,0,0
0.112,19,19,71,29.02,2,3,0,0
0.295,65,65,63,29.93,10,6,0,0
0.36,55,55,77,29.21,10,10,0,0
0.116,73,73,44,29.94,10,13,0,0
0.178,58,58,88,29.43,10,3,0,0
0.164,79,79,30,29.95,10,9,0,0
0.044,85,85,57,29.17,10,8,0,0
0.008,84,84,56,29.11,10,3,0,0
1.861,90,90,12,26.43,10,5,0,0
0.03,56,56,93,29.49,10,5,0,0
0.021,66,66,56,29.86,10,6,0,0
0.873,91,91,7,25.45,10,5,0,0
0.112,74,74,59,29.61,10,0,0,0
0.968,66,66,90,29.64,10,12,0,0
1.095,82,82,52,29.87,10,0,0,0
0.137,34,34,81,29.64,10,0,0,0
0.239,68,68,50,30.13,10,6,0,0
0.504,73,73,46,28.92,10,9,0,0
0.2,39,29.9,62,29.93,10,17.3,0,0
0.051,45,43,90,30.08,8,5,0.01,0
0.898,35,35,93,30.27,10,0,0,0
0.027,52,52,59,30.2,10,0,0,0
0.12,33,28,48,28.83,10,6,0,0
0.064,77,77,84,29.95,10,3,0,0
0.007,94,94,20,26.84,10,8,0,0
0.604,45,45,37,29.84,10,0,0,0
0.397,86,86,61,30.07,10,13,0,0
0.702,79,79,69,30,10,5,0,0
1.319,51,51,86,29.62,10,0,0,0
5.001,83,83,51,30.1,10,13,0,0
0.06,81,81,72,29.81,10,10,0,0
0.141,28,28,85,30.1,10,0,0,0
5.882,22,22,85,25.81,1,3,0,0
0.75,49,44,83,29.88,10,13,0,0
1.935,45,39,36,30.27,10,12,0,0
0.152,54,54,51,30,10,7,0,0
0.076,85,85,31,28.16,10,16,0,0
0.23,86,86,57,29.86,10,12,0,0
0.877,80,80,60,29.33,10,8,0,0
0.273,85,85,65,29.99,10,10,0,0
2.362,72,72,93,29.55,7,0,0,0
0.017,45,45,93,29.88,0.88,0,0,0
0.018,79,79,64,28.66,10,8,0,0
0.763,57,57,45,29.66,10,6,0,0
0.348,41,38,96,30.07,5,5,0,0
1.056,62,62,66,28.7,10,0,0,0
0.039,75,75,83,29.37,10,8,0,0
0.255,69,69,31,29.91,10,8,0,0
0.17,83,83,67,30,10,15,0,0
0.009,91,91,57,30.04,10,12,0,0
0.157,40,40,73,29.23,10,3,0,0
1.173,55,55,89,29.63,2,9,0.06,0
0.051,69,69,87,29.73,10,6,0,0
1.675,59,59,60,29.81,10,14,0,0
1.538,84,84,47,29.3,10,10,0,0
0.04,63,63,30,29.98,10,6,0,0
0.161,67,67,54,29.97,10,14,0,0
1.303,53,53,83,29.02,10,22,0,0
1.121,88,88,32,29.91,10,6,0,0
2.215,64,64,48,29.22,10,10,0,1
0.575,63,63,63,29.83,10,3,0,0
2.162,80,80,20,29.54,10,12,0,0
0.094,66,66,93,29.91,5,13,0.01,0
0.2,75,75,78,29.68,10,7,0,0
4.102,84,84,66,29.43,10,6,0,0
2.453,63,63,94,29.68,0.25,3,0,0
0.621,40,35,54,30.43,10,7,0,0
0.921,71,71,66,29.77,10,9,0,0
5.501,70,70,51,29.6,10,10,0,0
1.285,77,77,89,29.97,10,0,0,0
0.231,93,93,56,29.25,10,5,0,0
0.289,26,12,51,29.42,10,20,0,0
1.191,72,72,100,29.94,8,0,0,0
0.016,40,31,33,30.17,10,17,0,0
0.078,98,98,39,29.24,10,6,0,0
0.044,72,72,93,29.41,10,0,0,0
0.075,72,72,46,30.33,10,8,0,0
1.077,48,48,84,30.05,10,3,0,0
0.819,78,78,66,29.69,10,12,0,0
0.031,63,63,90,29.85,10,7,0,0
0.076,66,66,43,29.98,10,14,0,0
1.095,72,72,88,29.41,10,3,0,0
0.163,92,92,53,28.72,10,15,0,0
1.429,78,78,46,29.23,10,10,0,0
0.222,58,58,78,30.01,7,3,0,0
4.068,61,61,52,29.59,10,5,0,0
0.029,72,72,61,29.78,10,5,0,0
0.147,76,76,94,29.93,10,0,0,0
0.297,68,68,68,30.11,10,8,0,0
0.019,66,66,52,29.38,10,0,0,0
5.175,77,77,84,29.29,10,0,0,0
2.296,48,48,100,29.66,2,0,0,0
2.016,60,60,30,29.26,10,5,0,0
0.329,44,40,68,29.17,10,7,0,0
0.097,89,89,63,29.78,10,6,0,0
0.019,18,7,81,29.31,5,9,0,0
0.856,81,81,54,29.68,10,18,0,0
0.112,76,76,52,30.12,10,8,0,0
1.001,80,80,28,29.35,10,0,0,0
0.855,49,47,97,30.03,0.75,6,0.05,0
1.501,66,66,20,28.6,10,9,0,0
0.178,68,68,84,30.06,10,3,0,0
2.047,61,61,58,30.27,6,8,0,0
0.632,71,71,27,29.77,10,15,0,0
0.041,74,74,62,29.66,10,3,0,0
0.301,43,43,100,29.35,7,0,0,0
0.661,53,53,37,28.99,10,7,0,0
0.699,47,47,68,29.75,10,3,0,0
1.146,63,63,43,29.89,10,14,0,0
0.279,61,61,27,29.38,10,5,0,0
0.155,71,71,15,29.65,10,0,0,0
0.304,90,90,43,29.79,10,12,0,0
0.08,46,41,58,29.51,10,10,0.01,0
0.4,64,64,43,29.73,10,9,0,0
2.244,91,91,32,29.75,10,7,0,0
0.176,77,77,64,28.36,10,23,0,0
0.162,57,57,93,30.14,9,5,0,0
1.945,45,45,93,29.94,10,3,0,0
0.396,46,43,40,29.19,10,6,0,0
0.144,73,73,81,28.71,10,0,0,0
0.907,65,65,78,29.9,10,3,0,0
0.02,42,36,35,30.25,10,12,0,0
0.089,40,40,89,29.81,4,0,0,0
0.525,76,76,91,29.87,10,0,0,0
0.748,89,89,50,29.94,10,15,0,0
0.14,90,90,50,29.22,10,3,0,0
0.897,50,50,96,29.75,3,5,0,0
0.023,94,94,49,29.93,10,12,0,0
1.224,56,56,87,29.95,10,3,0,0
2.641,99,99,18,29.64,10,10,0,0
2.518,63,63,20,25.03,10,7,0,0
0.39,85,85,49,30.11,10,3,0,0
4.221,32,32,79,30.23,10,0,0,0
0.488,77,77,90,28.67,10,3,0,1
0.09,52,52,100,29.25,7,3,0,0
0.198,91,91,48,29.87,10,12,0,0
4.805,56,56,36,29.86,10,3,0,1
0.172,87,87,63,29.88,10,18,0,0
0.151,77,77,89,29.96,5,0,0,0
0.397,73,73,49,30.08,10,20,0,0
0.083,56,56,72,30.13,10,6,0,0
1.148,52,52,37,24.92,10,7,0,0
0.307,88,88,59,30.13,10,5,0,0
0.203,72,72,61,29.74,10,9,0,0
0.53,69,69,63,29.93,10,10,0,0
0.295,72,72,64,29.42,10,3,0,0
0.549,66,66,68,29.72,10,0,0,0
0.163,78,78,81,30.03,10,3,0,0
0.006,79,79,58,29.48,10,9,0,0
0.175,84,84,79,30.01,10,5,0,0
0.008,71,71,57,29.93,10,12,0,0
0.009,48,48,61,29.98,10,0,0,0
1.608,79,79,94,30.01,10,3,0,0
0.441,43,37,89,27.78,10,10,0,0
0.007,68,68,76,29.84,10,7,0,0
0.49,73,73,78,29.44,9,0,0,0
0.818,75,75,48,29.96,10,17,0,0
0.049,86,86,31,29.55,10,7,0,0
0.191,29,24,86,29.34,1,5,0,0
1.905,51,51,86,29.83,6,0,0,0
0.552,57,57,83,29.3,10,6,0,0
0.735,62,62,78,29.89,10,5,0,0
0.009,83,83,74,29.95,10,7,0,0
0.457,88,88,55,29.95,10,8,0,0
0.222,79,79,77,29.9,10,7,0,0
2.698,88,88,51,29.43,10,10,0,0
0.01,82,82,85,29.91,10,14,0,0
0.025,60,60,62,29.96,10,0,0,0
0.713,56,56,90,29.61,1,0,0,0
1.61,90,90,49,29.82,10,12,0,0
0.426,51,51,43,29.6,10,12,0,0
0.545,77,77,44,29.79,10,6,0,0
0.857,75,75,94,29.71,8,6,0.04,0
0.221,17,17,81,26.36,10,3,0,0
0.042,65,65,87,29.96,2,5,0.06,0
5.889,82,82,79,30.15,10,14,0,0
0.124,87,87,69,29.92,10,10,0,0
0.305,73,73,44,29.02,10,9,0,0
1.099,47,47,56,30.06,10,3,0,0
0.05,36,36,75,29.92,10,0,0,0
0.238,80,80,74,29.65,10,10,0,0
0.133,92,92,55,30.02,10,13,0,0
0.377,59,59,83,29.82,9,6,0,0
0.117,78,78,84,30.03,7,6,0.21,0
0.499,72,72,50,29.84,40,10,0,0
0.296,43,39,76,29.17,10,6,0,0
0.255,66,66,73,28.8,3,0,0,0
0.173,81,81,79,29.91,7,7,0.02,0
0.027,73,73,68,29.61,2,0,0,0
0.084,55,55,47,27.28,10,10,0,0
0.083,62,62,96,30.03,0.75,0,0,0
1.216,50,50,80,29.44,9,0,0,0
7.579,63,63,37,29.07,10,8,0,0
0.044,77,77,82,29.12,10,8,0,0
0.053,75,75,44,29.81,10,5,0,0
2.705,66,66,87,29.92,8,10,0.06,0
1.184,65,65,45,30.04,10,7,0,0
2.813,80,80,87,29.86,10,6,0,0
0.145,67,67,76,29.97,10,5,0,0
0.436,69,69,96,29.79,10,12,0,0
1.594,67,67,73,28.9,5,5,0,0
0.976,66,66,38,29.45,10,12,0,0
1.736,48,48,77,29.88,10,0,0,0
0.029,62,62,86,29.09,8,14,0,0
0.046,57,57,67,29.96,10,6,0,0
0.17,63,63,90,29.51,1,20,0.16,0
0.17,50,50,82,29.75,6,15,0,0
1.424,92,92,27,29.01,10,6,0,0
0.549,54,54,86,29.92,8,3,0,0
0.041,82,82,58,29.5,9,12,0,0
